site|state	city, state	address	zip
575|GA	Saint Marys, GA	491 St. Mary's Road	31558
576|MN	Northfield, MN	8051 Bagley Avenue	55057
580|TX	Odessa, TX	5900 E. Interstate 20	79766
581|MN	Inver Grove Heights, MN	11650 Courthouse Blvd.	55077
583|WA	Ferndale, WA	1678 Main Street	98248
584|OR	Aurora, OR	12334 Ehlen Road	97002
586|MS	Moss Point, MS	5705 Hwy 63	39563
590|MN	Alexandria, MN	3181 Evergreen Lane	56308
592|CO	Grand Junction, CO		
593|AZ	Tucson, AZ	5570 E. Travel Plaza Way	85756
594|IA	Sioux City, IA	2815 Singing Hills Blvd.	51111
595|IL	Marion, IL	2611 Vernell Road	62959
596|MI	Kimball Township, MI	2424 Wadhams Road	48074
597|OH	Chillicothe, OH		
599|SD	Murdo, SD	601 East Fifth Street	57559
601|AL	Mc Calla, AL	6098 MacAshan Dr	35111
602|AL	Birmingham, AL	224 Daniel Payne Drive	35207
603|AL	Dothan, AL	2190 Ross Clark Circle	36301
604|AL	Hope Hull, AL	900 Tyson Road	36043
605|AR	Russellville, AR	42 Bradley Cove Road	72801
606|AR	Texarkana, AR	Rt 12 Box 254B I30 & Hwy 108	71854
607|AR	West Memphis, AR	3400 Service Loop Road	72301
608|AZ	Ehrenberg, AZ	Box 801 I-10 Exit 1 S Frontage	85334
609|AZ	Eloy, AZ	16189 S Sunshine Blvd	85231
610|AZ	Kingman, AZ	3300 E Andy DeVine Ave	86401
611|AZ	Phoenix, AZ	6700 West Latham	85043
612|AZ	Winslow, AZ	400 Transcon Lane	86047
613|CA	Bakersfield, CA	17047 Zachary Ave	93308
614|CA	Barstow, CA	2611 Fisher Blvd.	92311
616|CA	Frazier Park, CA	42810 Frazier Mountain Park Rd	93243
617|CA	Lodi, CA	15100 North Thornton Rd	95242
618|CA	Ripon, CA	1501 North Jack Tone Road	95366
619|CO	Aurora, CO	16751 East 32nd Ave	80011
620|PA	Smithton, PA	122 Fitzhenry Road	15479
621|CO	Limon, CO	2495 Williams Ave	80828
622|FL	Saint Lucie, FL	100 North Kings Hwy	34945
623|FL	Quincy, FL	32670 Blue Star Hwy	32343
624|FL	Dade City, FL	29933 State Road 52	33576
625|FL	Tampa, FL	11555 East Sligh Ave.	33584
626|FL	St Augustine, FL	950 State Road 206 West	32086
627|GA	Brunswick, GA	2990 US Hwy 17 South	31523
628|GA	Carnesville, GA	10226 Old Federal Road	30521
630|GA	Jackson, GA	I-75 & Exit 66 Bucksnort Road	30233
631|GA	Lake Park, GA	7001 Lake Park Bellville Road	31636
632|GA	Resaca, GA	288 Resaca Beach Blvd	30735
633|GA	Union Point, GA	3600 Highway 77 South	30669
634|GA	Temple, GA	15 Villa Rosa Road	30179
636|IA	Davenport, IA	8200 N.W. Blvd.	52806
637|IA	Evansdale, IA	445 Evansdale Drive	50707
638|ID	Caldwell, ID	3512 Franklin Road	83605
639|ID	Post Falls, ID	3636 W. 5th Street	83854
640|ID	Twin Falls, ID	5350 Hwy 93 I-84 & Exit 173	83338
669|MO	Joplin, MO	11570 Hwy FF	64804
671|MO	Matthews, MO	703 State Hwy 80	63867
672|MO	Peculiar, MO	700 J Hwy	64078
673|MO	Sullivan, MO	1500 AF Highway	63080
674|MO	Warrenton, MO	#1 Camp Branch Rd	63383
675|MO	Wayland, MO	102 Fore Drive	63472
676|MS	Gulfport, MS	9351 Canal Road	39503
677|MS	Olive Branch, MS	4740 Bethel Road	38654
678|MS	Pearl, MS	685 Highway 80 East	39208
682|NC	Graham, NC	1043 Jimmie Kerr Rd	27258
683|NC	Kenly, NC	1800 Princeton-Kenly Road	27542
684|ND	Beach, ND	I-94 & Hwy 16	58621
685|ND	Fargo, ND	3150 39th St SW Suite A	58104
686|NE	Gretna, NE	15010 South State Hwy 31	68028
687|NE	North Platte, NE	3400 So. Newberry Rd.	69101
688|NJ	Carneys Point, NJ	326 Slapes Corner/I295 Ex 2C	8069
689|NM	Albuquerque, NM	9911 Avalon Road NW	87105
690|NM	Lordsburg, NM	11 Old Hwy 70	88045
691|NM	Tucumcari, NM	2021 S. Mountain Rd	88401
692|NV	Wells, NV	156 Hwy 93 South	89835
693|NY	Pembroke, NY	8484 Allegheny Road	14036
694|OH	Austinburg, OH	2349 Center Road	44010
695|OH	Beaverdam, OH	420 East Main Street	45808
696|OH	Berkshire, OH	7735 East State Rt 37	43074
697|OH	Hubbard, OH	2226 North Main	44425
698|OH	Washington Court House, OH	9935 SR 41	43128
699|OH	Millersport, OH	10480 Baltimore	43046
700|OH	Lake Township, OH	26415 Warns Road	43551
701|OK	Ardmore, OK	2450 Cooper Drive	73401
702|OK	Checotah, OK	1255 Gentry	74426
703|OK	Oklahoma City, OK	701 South Morgan Road	73128
704|OK	Edmond, OK	4801 NE 122nd St.	73013
